hotelid,outbounddeparturedatetime,inbounddeparturedatetime,countadults,countchildren,price,inbounddepartureairport,outboundarrivalairport,inboundarrivaldatetime,outbounddepartureairport,inboundarrivalairport,outboundarrivaldatetime,mealtype,oceanview,roomtype
422,2023-02-04T12:50:00+00:00,2023-02-15T10:50:00+00:00,2,0,1606,PMI,PMI,2023-02-15T16:35:00+00:00,FMO,FMO,2023-02-04T17:25:00+00:00,BREAKFAST,False,APARTMENT
339,2023-07-01T17:05:00+00:00,2023-07-08T19:50:00+00:00,2,1,1770,PMI,PMI,2023-07-08T21:55:00+00:00,STR,STR,2023-07-01T19:05:00+00:00,BREAKFAST,False,DOUBLE
310,2023-10-14T00:00:00+00:00,2023-10-23T00:00:00+00:00,2,1,2700,PMI,PMI,2023-10-23T19:30:00+00:00,HAM,HAM,2023-10-14T22:10:00+00:00,ALLINCLUSIVE,False,DOUBLE
380,2023-10-05T14:10:00+00:00,2023-10-16T09:45:00+00:00,2,1,6656,PMI,PMI,2023-10-16T12:35:00+00:00,HAM,HAM,2023-10-05T16:55:00+00:00,HALFBOARD,True,DOUBLE
910,2023-05-19T00:00:00+00:00,2023-05-22T00:00:00+00:00,2,0,1305,PMI,PMI,2023-05-22T17:40:00+00:00,LEJ,LEJ,2023-05-19T08:00:00+00:00,HALFBOARD,False,STUDIO
845,2023-04-02T00:00:00+00:00,2023-04-09T00:00:00+00:00,1,2,1841,PMI,PMI,2023-04-09T14:40:00+00:00,LEJ,LEJ,2023-04-02T12:25:00+00:00,NONE,False,APARTMENT
767,2023-05-16T00:00:00+00:00,2023-05-22T00:00:00+00:00,1,0,738,PMI,PMI,2023-05-22T08:25:00+00:00,NUE,NUE,2023-05-16T19:50:00+00:00,NONE,True,APARTMENT
687,2023-04-09T00:00:00+00:00,2023-04-16T00:00:00+00:00,1,1,1340,PMI,PMI,2023-04-17T00:50:00+00:00,CGN,CGN,2023-04-09T22:25:00+00:00,HALFBOARD,False,APARTMENT
147,2023-08-18T00:00:00+00:00,2023-08-28T00:00:00+00:00,1,2,2068,PMI,PMI,2023-08-28T11:35:00+00:00,STR,STR,2023-08-18T18:25:00+00:00,NONE,False,SINGLE
347,2023-09-06T06:25:00+00:00,2023-09-15T08:35:00+00:00,2,2,3132,PMI,PMI,2023-09-15T10:40:00+00:00,STR,STR,2023-09-06T08:30:00+00:00,NONE,False,STUDIO
